state_code,source,amap_code,urban,lga_code,LGA,ward_name,ward_code,global_id
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Akpugo,ENSUMU13,8515b79f-9e18-47ec-a83b-6b1a149ff1bf
EN,INEC,,0,14006,Ezeagu,Oghe 3,ENSAGW12,860c9e33-be32-44ea-868b-76c80f97c41d
EN,INEC,,0,14007,Igbo-Etiti,Aku 2,ENSGBO08,861cd96a-2a54-4a75-a789-06c3a663820f
EN,INEC,,0,14011,Nkanu East,Nara 2,ENSMGL10,8636c5fe-0fdd-4b55-8372-602a09e6230c
EN,INEC,,0,14010,Isi-Uzo,Neke 2,ENSKEM10,8680cec2-5b46-4454-9d51-7fd6cb5fcfd7
EN,INEC,,0,14001,Aninri,Oduma 2,ENSDBR16,873473aa-eeec-4f0f-9295-31f5b9693cfb
EN,INEC,,0,14014,Oji-River,Inyi Ii,ENSJRV17,87999e53-6211-4007-b765-1d41d6951fb0
EN,INEC,,0,14006,Ezeagu,Olo 1,ENSAGW20,87ff5096-91e2-490c-ac99-1c3e2864568e
EN,INEC,NIE ENS AGN,0,14012,Nkanu West,Ogonogo-Ejindiagu,ENSAGN16,889d3163-956c-47cb-8587-e7d8d00abb2a
EN,INEC,,0,14011,Nkanu East,Owo,ENSMGL09,8c484444-7d4e-499a-88c5-c32045d51d4c
EN,INEC,,0,14012,Nkanu West,Ndiuno Uwani/Akpugo 4,ENSAGN05,8c8cd346-92f6-4cd0-8175-1c0c60a502d7
EN,INEC,,0,14006,Ezeagu,Aguobu Umumba/Umumba Ndiagu,ENSAGW01,9045e076-24ff-4d47-aa4a-48a7f48acfc3
EN,INEC,,0,14008,Igbo-Eze North,Umuitodi 1,ENSENZ10,91051229-edfe-4c00-97a3-67e990ae4997
EN,INEC,,1,14004,Enugu North,Ihewuzu/Onuator,ENSENU06,91e8a3d7-b374-4ad5-a04a-357973b50856
EN,INEC,,0,14001,Aninri,Mpu,ENSDBR07,927a10bf-a5c9-4736-94d7-6da4b903b8ba
EN,INEC,,0,14007,Igbo-Etiti,Ohodo 1,ENSGBO15,94606630-4a9c-4d74-9f5e-a249a3dc277b
EN,INEC,NIE ENS NSK,0,14013,Nsukka,Eha-Uno,ENSNSK22,9580d13f-2ba9-40c4-b4d4-6b54f7788c7d
EN,INEC,,0,14009,Igbo-Eze-South,Nkalagu-Obukpa,ENSBBG03,9670c78f-a164-466e-b2a1-ae4e2ebe185e
EN,INEC,,0,14001,Aninri,Ndeaboh,ENSDBR08,9a9f1e40-c32c-47c6-bb4c-85ab5abc649d
EN,INEC,,0,14004,Enugu North,Udi Siding/Iva Valley,ENSENU12,97e76a15-8aca-4dde-8b49-360245dcb283
EN,INEC,,0,14013,Nsukka,Nru,ENSNSK16,98d73c1a-f2ce-41a1-9f37-441271f1f63c
EN,INEC,,0,14015,Udenu,Obollo Afor,ENSBLF05,99749aa9-c4a6-4d27-94ee-c051f52da044
EN,INEC,,0,14010,Isi-Uzo,Eha Amufu 1,ENSKEM01,998ed56b-a9ed-41fc-aff3-d7e6b45577cd
EN,INEC,,0,14006,Ezeagu,Imezi Owa 2,ENSAGW11,9a30d99b-7649-42b3-b757-517bc43b355f
EN,INEC,,0,14016,Udi,Ngwo Asaa,ENSUDD10,9a5feebe-0fdd-4b92-80d4-6c26ef8c23eb
EN,INEC,,0,14007,Igbo-Etiti,Ochima/Onyoho/Idoha,ENSGBO01,9b7d96fa-8945-4704-b020-44a2b423b9a5
EN,INEC,,0,14013,Nsukka,Okpuje/Okutu/Anuka,ENSNSK06,9c522f40-d3c2-47cb-9dd6-034c45ab9b91
EN,INEC,NIE ENS UWN,0,14005,Enugu South,Ikirike,ENSUWN19,9cb74277-d2e6-4286-a655-1a328fd47092
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Igga/Asaba,ENSUMU14,9d153fc8-1c4a-4656-8e1f-2fbb0456caf8
EN,INEC,,0,14014,Oji-River,Akpugoeze,ENSJRV10,9f184718-b692-43f2-90e4-907e380d470e
EN,INEC,,1,14009,Igbo-Eze-South,Ezema,ENSBBG10,a163cc01-45db-47c2-87dc-325bfdc9dfdb
EN,INEC,,0,14008,Igbo-Eze North,Umuitodo 2,ENSENZ03,a1fe1509-afb0-4875-86d6-5fdb49d90e9b
EN,INEC,,1,14013,Nsukka,Ihe,ENSNSK11,a1fffb63-8733-4496-9970-5816aa64427c
EN,IPD_Campaign,,0,14017,Uzo-Uwani,Adaba/Nkume,ENSUMU01,a22954cd-a361-4043-ac95-7cbea8fca1d4
EN,INEC,,0,14009,Igbo-Eze-South,Iheaka 2,ENSBBG11,a28b7c66-e731-48b6-90c5-ef676615a871
EN,INEC,,0,14006,Ezeagu,Obeleagu,ENSAGW06,a357bc55-7563-4551-bbbc-3404fecbeec9
EN,INEC,,0,14003,Enugu East,Ibagwa-Nike/Edem,ENSNKW11,a38ee0c5-1ef6-427b-b3fe-8ca944346743
EN,INEC,,1,14003,Enugu East,Umuchigbo,ENSNKW03,a47ea637-bd49-4154-8e6c-b346ea3a4e6c
EN,INEC,,1,14005,Enugu South,Uwani East,ENSUWN02,a5e0399d-a5be-4311-8f4c-6040fc187037
EN,INEC,,0,14001,Aninri,Nnenwe 3/Emudo/Uhueze,ENSDBR11,a65ab599-1a46-480a-9111-1c6fbf2a6cd4
EN,INEC,NIE ENS ENU,0,14004,Enugu North,Amigbo,ENSENU15,a6f112d1-d3c9-4b14-b720-62f4532d3616
EN,INEC,,0,14008,Igbo-Eze North,Essodo 3,ENSENZ11,e2482c52-a591-4fb3-b9f4-a4f26defe33a
EN,INEC,,1,14003,Enugu East,Mbulujodo 2 (West)/Emene,ENSNKW05,a79d1f7f-297a-4400-9957-3125b7590819
EN,INEC,,1,14005,Enugu South,Achara 2,ENSUWN08,ac9a38fc-160f-47f1-a4c0-305519cb2f7b
